company,category,email,website,employees,funding
Ramp 40,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 40,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 40,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 40,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 41,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 41,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 41,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 41,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 41,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 41,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp 41,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 41,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 41,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 41,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 42,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 42,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 42,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 42,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 42,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 42,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp 42,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 42,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 42,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 42,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 43,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 43,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 43,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 43,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 43,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 43,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp 43,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 43,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 43,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 43,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 44,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 44,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 44,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 44,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 44,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 44,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp 44,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 44,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 44,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 44,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 45,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 45,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 45,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 45,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 45,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 45,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp 45,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 45,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 45,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 45,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 46,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 46,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 46,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 46,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 46,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 46,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp 46,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 46,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 46,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 46,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 47,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 47,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 47,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 47,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 47,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 47,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp 47,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 47,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 47,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 47,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 48,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 48,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 48,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 48,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 48,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 48,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp 48,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 48,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 48,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 48,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 49,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 49,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 49,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 49,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 49,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 49,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp 49,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 49,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 49,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 49,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 50,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 50,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 50,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 50,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 50,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 50,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp 50,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 50,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 50,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 50,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
